undirected-random, 275000, directed-random, 275000, 43, 19, 2
directed-random, 275000, undirected-random, 275000, 37, 17, 10
directed-random, 275000, undirected-random, 275000, 34, 26, 4
undirected-random, 275000, directed-random, 275000, 38, 21, 5
directed-random, 275000, undirected-random, 275000, 27, 24, 13
undirected-random, 275000, directed-random, 275000, 43, 16, 5
undirected-random, 275000, directed-random, 275000, 43, 16, 5
directed-random, 275000, undirected-random, 275000, 38, 23, 3
undirected-random, 275000, directed-random, 275000, 41, 15, 8
directed-random, 275000, undirected-random, 275000, 39, 21, 4
undirected-random, 275000, directed-random, 275000, 37, 22, 5
directed-random, 275000, undirected-random, 275000, 32, 26, 6
directed-random, 275000, undirected-random, 275000, 34, 24, 6
undirected-random, 275000, directed-random, 275000, 33, 22, 9
directed-random, 275000, undirected-random, 275000, 34, 25, 5
undirected-random, 275000, directed-random, 275000, 40, 19, 5
undirected-random, 275000, directed-random, 275000, 34, 24, 6
directed-random, 275000, undirected-random, 275000, 35, 23, 6
undirected-random, 275000, directed-random, 275000, 43, 20, 1
undirected-random, 275000, directed-random, 275000, 46, 9, 9
directed-random, 275000, undirected-random, 275000, 32, 23, 9
undirected-random, 275000, directed-random, 275000, 38, 23, 3
directed-random, 275000, undirected-random, 275000, 27, 31, 6
undirected-random, 275000, directed-random, 275000, 37, 16, 11
directed-random, 275000, undirected-random, 275000, 29, 23, 12
undirected-random, 275000, directed-random, 275000, 34, 24, 6
directed-random, 275000, undirected-random, 275000, 24, 31, 9
directed-random, 275000, undirected-random, 275000, 30, 27, 7
directed-random, 275000, undirected-random, 275000, 32, 22, 10
undirected-random, 275000, directed-random, 275000, 35, 23, 6
directed-random, 275000, undirected-random, 275000, 31, 28, 5
undirected-random, 275000, directed-random, 275000, 37, 20, 7
undirected-random, 275000, directed-random, 275000, 42, 17, 5
directed-random, 275000, undirected-random, 275000, 33, 25, 6
undirected-random, 275000, directed-random, 275000, 44, 14, 6
directed-random, 275000, undirected-random, 275000, 32, 25, 7
